Channel,F (MHz),Speed (Mbit/s),Pmin (dBm),Y (dB),FSL (dB),Distance (m)
802.11g_ch3,2422,54,-66,80,70,29.23
802.11g_ch3,2422,48,-71,85,75,51.98
802.11g_ch3,2422,36,-76,90,80,92.43
802.11g_ch3,2422,24,-80,94,84,146.5
802.11g_ch3,2422,18,-83,97,87,206.93
802.11g_ch3,2422,12,-85,99,89,260.51
802.11g_ch3,2422,9,-86,100,90,292.3
802.11g_ch3,2422,6,-87,101,91,327.96
802.11g_ch11,2462,54,-66,80,70,28.75
802.11g_ch11,2462,48,-71,85,75,51.13
802.11g_ch11,2462,36,-76,90,80,90.93
802.11g_ch11,2462,24,-80,94,84,144.12
802.11g_ch11,2462,18,-83,97,87,203.57
802.11g_ch11,2462,12,-85,99,89,256.28
802.11g_ch11,2462,9,-86,100,90,287.55
802.11g_ch11,2462,6,-87,101,91,322.64
802.11n_ch36,5190,15,-96,110,100,431.35
802.11n_ch36,5190,30,-95,109,99,384.44
802.11n_ch36,5190,45,-92,106,96,272.17
802.11n_ch36,5190,60,-90,104,94,216.19
802.11n_ch36,5190,90,-86,100,90,136.41
802.11n_ch36,5190,120,-83,97,87,96.57
802.11n_ch36,5190,135,-77,91,81,48.4
802.11n_ch36,5190,150,-74,88,78,34.26
802.11n_ch112,5570,15,-96,110,100,401.92
802.11n_ch112,5570,30,-95,109,99,358.22
802.11n_ch112,5570,45,-92,106,96,253.6
802.11n_ch112,5570,60,-90,104,94,201.44
802.11n_ch112,5570,90,-86,100,90,127.1
802.11n_ch112,5570,120,-83,97,87,89.98
802.11n_ch112,5570,135,-77,91,81,45.1
802.11n_ch112,5570,150,-74,88,78,31.93
